HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
630710,"FLOOR-CLOTHS, DISH CLOTHS, DUSTERS AND SIMILAR CLEANING CLOTHS",12%,,15/11/2017        1/07/2017,
63071010,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS FLOOR-CLOTHS, DISH-CLOTHS, DUSTERS AND SIMILAR CLEANING CLOTHS: OF COTTON",12%,,15/11/2017        1/07/2017,
63071020,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS FLOOR-CLOTHS, DISH-CLOTHS, DUSTERS AND SIMILAR CLEANING CLOTHS: OF MAN-MADE FIBRES",12%,,15/11/2017        1/07/2017,
63071030,"FLOOR CLOTHES, DISH CLOTHES, DUSTERS AND SIMILAR CLEANING CLOTHES - OF COTTON,HANDLOOM",12%,,15/11/2017        1/07/2017,
63071090,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS FLOOR-CLOTHS, DISH-CLOTHS, DUSTERS AND SIMILAR CLEANING CLOTHS: OTHER",12%,,15/11/2017        1/07/2017,
630720,LIFE-JACKETS AND LIFE-BELTS,12%,,15/11/2017        1/07/2017,
63072010,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS LIFE-JACKETS AND LIFE-BELTS:OF COTTON",12%,,15/11/2017        1/07/2017,
63072090,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS LIFE-JACKETS AND LIFE-BELTS:OTHER",12%,,15/11/2017        1/07/2017,
630790,OTHER,12%,,15/11/2017        1/07/2017,
63079011,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS OTHER: DRESS MATERIALS HAND PRINTED: OF COTTON",12%,,15/11/2017        1/07/2017,
63079012,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS OTHER: DRESS MATERIALS HAND PRINTED:OF SILK",12%,,15/11/2017        1/07/2017,
63079013,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS OTHER: DRESS MATERIALS HAND PRINTED: OF MAN-MADE FIBRES",12%,,15/11/2017        1/07/2017,
63079019,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS OTHER: DRESS MATERIALS HAND PRINTED:OTHER",12%,,15/11/2017        1/07/2017,
63079020,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS OTHER:MADE UP ARTICLES OF COTTON",12%,,15/11/2017        1/07/2017,
63079090,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS OTHER: OTHER",12%,,15/11/2017        1/07/2017,
6308,"II. SETS CONSISTING OF WOVEN FABRIC AND YARN, WHETHER OR NOT WITH ACCESSORIES, FOR MAKING UP INTO RUGS, TAPESTRIES, EMBROIDERED TABLE CLOTHS OR SERVIETTES, OR SIMILAR TEXTILE ARTICLES, PUT UP IN PACKINGSFOR RETAIL SALE(sale value not exceeding Rs. 1000 per piece)",5%,,01/07/2017,
6308,"II. SETS CONSISTING OF WOVEN FABRIC AND YARN, WHETHER OR NOT WITH ACCESSORIES, FOR MAKING UP INTO RUGS, TAPESTRIES, EMBROIDERED TABLE CLOTHS OR SERVIETTES, OR SIMILAR TEXTILE ARTICLES, PUT UP IN PACKINGSFOR RETAIL SALE(sale value exceeding Rs. 1000 per piece)",12%,,15/11/2017        1/07/2017,
63080000,"II SETSSETS CONSISTING OF WOVEN FABRIC AND YARN, WHETHER OR NOT WITH ACCESSORIES, FOR MAKING UP INTO RUGS, TAPESTRIES, EMBROIDERED TABLE CLOTHS OR SERVIETTES, OR SIMILAR TEXTILE ARTICLES, PUT UP IN PACKINGSFOR RETAIL SALE",12%,,15/11/2017        1/07/2017,
6309,WORN CLOTHING AND OTHER WORN ARTICLES(sale value not exceeding Rs. 1000 per piece),5%,,01/07/2017,
6309,WORN CLOTHING AND OTHER WORN ARTICLES(sale value exceeding Rs. 1000 per piece),12%,,15/11/2017        1/07/2017,
63090000,WORN CLOTHING AND OTHER WORN ARTICLES,12%,,15/11/2017        1/07/2017,
6310,"USED OR NEW RAGS, SCRAP TWINE, CORDAGE, ROPE AND CABLES AND WORN OUT ARTICLES OF TWINE, CORDAGE, ROPE OR CABLES, OF TEXTILE MATERIALS(sale value not exceeding Rs. 1000 per piece)",5%,,01/07/2017,
6310,"USED OR NEW RAGS, SCRAP TWINE, CORDAGE, ROPE AND CABLES AND WORN OUT ARTICLES OF TWINE, CORDAGE, ROPE OR CABLES, OF TEXTILE MATERIALS(sale value exceeding Rs. 1000 per piece)",12%,,15/11/2017        1/07/2017,
631010,SORTED,12%,,15/11/2017        1/07/2017,
63101010,"USED OR NEW RAGS, SCRAP TWINE, CORDAGE, ROPE AND CABLES AND WORN OUT ARTICLES OF TWINE, CORDAGE, ROPE OR CABLES, OF TEXTILE MATERIALS SORTED: WOOLLEN RAGS",12%,,15/11/2017        1/07/2017,
63101020,"USED OR NEW RAGS, SCRAP TWINE, CORDAGE, ROPE AND CABLES AND WORN OUT ARTICLES OF TWINE, CORDAGE, ROPE OR CABLES, OF TEXTILE MATERIALS SORTED: COTTON RAGS",12%,,15/11/2017        1/07/2017,
63101030,"USED OR NEW RAGS, SCRAP TWINE, CORDAGE, ROPE AND CABLES AND WORN OUT ARTICLES OF TWINE, CORDAGE, ROPE OR CABLES, OF TEXTILE MATERIALS SORTED: GUNNY CUTTINGS",12%,,15/11/2017        1/07/2017,
